,FW_flat,SC_variable,max_ramp,solar_cf
t192,123.9,101.9,962.3,0
t193,123,100.3,940.22,0
t194,123.4,98.1,925.22,0
t195,124.2,96.7,905.04,0
t196,124.2,95,889.62,0
t197,123.9,93.5,877.81,0
t198,123.6,92.6,858.32,0
t199,123.6,91.2,853.78,0
t200,124.1,89.7,849.76,0
t201,124.6,89.5,839.04,0
t202,124.4,88.7,832.74,0
t203,124.2,87.6,824.86,0
t204,124.4,87.3,820.18,0
t205,124.6,87,822.99,0
t206,124.5,86.3,816.87,0
t207,123.5,86.4,819.63,0
t208,118,85.8,823.21,0
t209,118.7,86.9,828.85,0
t210,119.2,87.8,839.44,0
t211,119.2,88.3,845.41,0
t212,120.1,88.2,846.36,0
t213,121.2,89.8,867.36,0
t214,122.2,90.5,880.88,0
t215,123.6,90.7,884.57,0
t216,125.1,90.9,887.53,0
t217,126.4,91.7,894.95,0
t218,127.1,92,900.25,0
t219,125.6,92.7,906.09,0
t220,124.1,93.7,912.7,0
t221,122.8,95.4,924.59,0
t222,123.9,97,933.99,0
t223,126,98.4,942.71,0
t224,126.3,100.1,956.53,0
t225,127,102,972.1,0.3
t226,126.7,103.9,990.28,0.3
t227,127.4,105.5,1007.74,0.3
t228,128.1,108,1027.64,0.3
t229,127.9,110.6,1048.71,0.56
t230,128.9,113.1,1069,0.56
t231,129.5,115.5,1089.85,0.56
t232,129.2,117.6,1109.88,0.56
t233,129.4,119.6,1130.97,0.63
t234,129.1,121.8,1152.81,0.63
t235,128.8,123.6,1173.97,0.63
t236,128.7,125.3,1194.47,0.63
t237,128.4,126.8,1215.01,0.65
t238,126.5,128.4,1234.33,0.65
t239,126.5,130,1255.71,0.65
t240,130.5,131.5,1276.38,0.65
t241,130.1,133,1295.78,0.64
t242,131,134.6,1316.39,0.64
t243,131.3,135.8,1334.92,0.64
t244,130.3,137,1353.35,0.64
t245,129.7,138.3,1368.81,0.67
t246,129.2,139.7,1385.8,0.67
t247,128.1,140.9,1403.25,0.67
t248,127.4,142,1416.86,0.67
t249,126.6,143.3,1432.52,0.7
t250,127.2,144.4,1448.56,0.7
t251,127.2,145.4,1456.98,0.7
